ts,"Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270","Weather forecast for the precipitation amount for the coming 1 hour at Bornholm | 9F7P/00/00/MET-Norway/forecast/precipitation_amount_acc | 128238","Weather forecast for the relativehumidity amount  at Bornholm | 9F7P/00/00/MET-Norway/forecast/relative_humidity_2m | 128254","Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286","Weather forecast for the air temperature at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_2m | 128190"
"2023-06-11 05:00:00",88.30500031,0,0.68787092,3.39883757,287.15701294
"2023-06-11 06:00:00",91.96178436,0,0.58665931,3.70727921,288.53717041
"2023-06-11 07:00:00",90.62695312,0,0.54330838,4.08308935,289.34082031
"2023-06-11 08:00:00",87.77146149,0,0.51442319,4.20796537,290.06030273
"2023-06-11 09:00:00",84.6342392,0,0.48996276,4.2969203,290.75259399
"2023-06-11 10:00:00",84.83766937,0,0.47194165,5.03702354,291.02972412
"2023-06-11 11:00:00",83.7039032,0,0.43332154,5.13844013,291.14389038
"2023-06-11 12:00:00",79.28125763,0,0.42386109,5.03622007,291.11923218
"2023-06-11 13:00:00",76.5242157,0,0.46707386,5.03590155,290.69177246
"2023-06-11 14:00:00",76.18011475,0,0.50714338,5.00488091,290.11340332
"2023-06-11 15:00:00",73.50834656,0,0.52490455,4.75027132,289.58721924
"2023-06-11 16:00:00",70.59549713,0,0.54452735,4.77264357,288.93206787
"2023-06-11 17:00:00",70.41660309,0,0.61184925,4.98792696,287.95584106
"2023-06-11 18:00:00",71.14936829,0,0.66398859,4.81236458,287.00750732
"2023-06-11 19:00:00",71.73448181,0,0.72186565,4.38584089,286.0017395
"2023-06-11 20:00:00",73.80471802,0,0.77141136,3.99148464,285.20175171
"2023-06-11 21:00:00",76.38502502,0,0.78558677,3.55319047,284.88772583
"2023-06-11 22:00:00",73.64159393,0,0.8242985,3.1851387,284.61529541
"2023-06-11 23:00:00",77.29039001,0,0.83310294,2.97832465,284.4828186
"2023-06-12 00:00:00",80.8288269,0,0.88669163,3.38323236,284.3314209
"2023-06-12 01:00:00",73.32038879,0,0.91244912,2.56880593,284.09881592
"2023-06-12 02:00:00",72.25008392,0,0.93275917,2.18508458,283.70928955
"2023-06-12 03:00:00",68.77391815,0,0.94493592,2.32526183,283.68395996
"2023-06-12 04:00:00",68.27587891,0,0.9163413,2.3875792,284.89401245
"2023-06-12 05:00:00",77.76592255,0,0.80952901,2.52959156,286.77044678
"2023-06-12 06:00:00",91.07904816,0,0.61716115,2.46432495,289.15313721
"2023-06-12 07:00:00",92.1490097,0,0.50355858,2.42605424,290.99490356
"2023-06-12 08:00:00",84.05493927,0,0.46785274,2.63940907,292.24118042
"2023-06-12 09:00:00",84.33010101,0,0.39311484,3.08405399,293.09570312
